"Indicator type","Indicator","Description"
"domain","bingo4dext.icu",""
"domain","bingo4dext.shop",""
"domain","bingo4dext.space",""
"domain","bingo4dext.top",""
"domain","bingo4dfree.fun",""
"domain","bingo4dfree.life",""
"domain","bingo4dfree.shop",""
"domain","bingo4dfree.space",""
"domain","bingo4dfree.top",""
"domain","bingo4dh01.space",""
"domain","bingo4dh02.space",""
"domain","bingo4dhot.fun",""
"domain","bingo4dhot.space",""
"domain","bingo4dmix.com",""
"domain","bingo4doke.fun",""
"domain","bingo4doke.shop",""
"domain","bingo4doke.space",""
"domain","bingo4doke.top",""
"domain","bingo4dop.shop",""
"domain","bingo4dop.space",""
"domain","bingo4dop.top",""
"domain","bingo4dpaling.top",""
"domain","bingo4dsip.fun",""
"domain","bingo4dsip.shop",""
"domain","bingo4dsip.space",""
"domain","bingo4dsip.top",""
"domain","bingo4dspot.space",""
"domain","bingo4dwew.fun",""
"domain","bingo4dwew.shop",""
"domain","bingo4dwew.space",""
"domain","bingo4dwew.top",""
"domain","bingoacade.com",""
"domain","bingobakers.top",""
"domain","bingobakes.top",""
"domain","bingoblitzs.top",""
"domain","bingocard.top",""
"domain","bingocards.top",""
"domain","bingocardss.top",""
"domain","bingogames-online.com",""
"domain","bingogzone.com",""
"domain","bingonice.com",""
"domain","bingoplus-games.com",""
"domain","bingoplus-games.mom",""
"domain","bingoplus-games.online",""
"domain","bingoplus-games.store",""
"domain","bingoplus-games.yachts",""
"domain","bingoplus-go.com",""
"domain","bingoplus-online.com",""
"domain","bingoplus-ph-game.boats",""
"domain","bingoplus-ph-game.mom",""
"domain","bingoplus-ph-game.store",""
"domain","bingoplus-ph.online",""
"domain","bingoplus8.org",""
"domain","slvip.pub",""
"domain","slvip.so",""
"domain","9pg.bet",""
"domain","ckc.bet",""
"domain","cwc.bet",""
"domain","cyc.bet",""
"domain","dzd.bet",""
"domain","okj.bet",""
"domain","rzr.bet",""
"domain","scs.bet",""
"domain","sdc.bet",""
"domain","sns.bet",""
"domain","sxs.bet",""
"domain","td.bet",""
"domain","td0.bet",""
"domain","td1.bet",""
"domain","td2.bet",""
"domain","td3.bet",""
"domain","td4.bet",""
"domain","td5.bet",""
"domain","td6.bet",""
"domain","td7.bet",""
"domain","td8.bet",""
"domain","td9.bet",""
"domain","xbx.bet",""
"domain","xdx.bet",""
"domain","xnx.bet",""
"domain","xsx.bet",""
"domain","zcz.bet",""
"domain","znz.bet",""
"domain","zsz.bet",""
"domain","ztw.bet",""
"domain","zwz.bet",""
"domain","hiyangplus.app",""
